Individus,Cas SNIF,IICR,Taille,M,Echantillon,Omega,n_inf,M_inf,N0_inf
607,122,41,1x6,1,11,0.5,,,
608,122,41,1x6,1,11,0.5,,,
609,122,41,1x6,1,11,0.5,,,
610,122,41,1x6,1,11,0.5,,,
611,123,41,1x6,1,11,1,,,
612,123,41,1x6,1,11,1,,,
613,123,41,1x6,1,11,1,,,
614,123,41,1x6,1,11,1,,,
615,123,41,1x6,1,11,1,,,
616,124,42,1x6,1,12,0.3,,,
617,124,42,1x6,1,12,0.3,,,
618,124,42,1x6,1,12,0.3,,,
619,124,42,1x6,1,12,0.3,,,
620,124,42,1x6,1,12,0.3,,,
621,125,42,1x6,1,12,0.5,,,
622,125,42,1x6,1,12,0.5,,,
623,125,42,1x6,1,12,0.5,,,
624,125,42,1x6,1,12,0.5,,,
625,125,42,1x6,1,12,0.5,,,
626,126,42,1x6,1,12,1,,,
627,126,42,1x6,1,12,1,,,
628,126,42,1x6,1,12,1,,,
629,126,42,1x6,1,12,1,,,
630,126,42,1x6,1,12,1,,,
631,127,43,1x6,1,13,0.3,,,
632,127,43,1x6,1,13,0.3,,,
633,127,43,1x6,1,13,0.3,,,
634,127,43,1x6,1,13,0.3,,,
635,127,43,1x6,1,13,0.3,,,
636,128,43,1x6,1,13,0.5,,,
637,128,43,1x6,1,13,0.5,,,
638,128,43,1x6,1,13,0.5,,,
639,128,43,1x6,1,13,0.5,,,
640,128,43,1x6,1,13,0.5,,,
641,129,43,1x6,1,13,1,,,
642,129,43,1x6,1,13,1,,,
643,129,43,1x6,1,13,1,,,
644,129,43,1x6,1,13,1,,,
645,129,43,1x6,1,13,1,,,
646,130,44,1x6,5,11,0.3,,,
647,130,44,1x6,5,11,0.3,,,
648,130,44,1x6,5,11,0.3,,,
649,130,44,1x6,5,11,0.3,,,
650,130,44,1x6,5,11,0.3,,,
651,131,44,1x6,5,11,0.5,,,
652,131,44,1x6,5,11,0.5,,,
653,131,44,1x6,5,11,0.5,,,
654,131,44,1x6,5,11,0.5,,,
655,131,44,1x6,5,11,0.5,,,
656,132,44,1x6,5,11,1,,,
657,132,44,1x6,5,11,1,,,
658,132,44,1x6,5,11,1,,,
659,132,44,1x6,5,11,1,,,
660,132,44,1x6,5,11,1,,,
661,133,45,1x6,5,12,0.3,,,
662,133,45,1x6,5,12,0.3,,,
663,133,45,1x6,5,12,0.3,,,
664,133,45,1x6,5,12,0.3,,,
